[INFO 3:11:08 PM] miguelsolorio.symbols activated
[INFO 3:11:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:11:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:11:08 PM] symbols.files.associations changed, updating to undefined
[INFO 3:11:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:11:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:11:09 PM] symbols.files.associations changed, updating to undefined
[INFO 3:11:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:11:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:11:09 PM] symbols.files.associations changed, updating to undefined
[INFO 3:11:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:11:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:11:38 PM] symbols.files.associations changed, updating to undefined
[INFO 3:12:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:12:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:12:33 PM] symbols.files.associations changed, updating to undefined
[INFO 3:19:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:19:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:19:14 PM] symbols.files.associations changed, updating to undefined
[INFO 3:19:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:19:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:19:15 PM] symbols.files.associations changed, updating to undefined
